   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
7.1614e+02,7.4127e-01,6.3614e-02
7.4131e+02,7.4273e-01,6.3283e-02
7.6736e+02,7.4417e-01,6.2956e-02
7.9433e+02,7.4561e-01,6.2633e-02
8.2224e+02,7.4705e-01,6.2312e-02
8.5114e+02,7.4847e-01,6.1995e-02
8.8105e+02,7.4989e-01,6.1682e-02
9.1201e+02,7.5129e-01,6.1371e-02
9.4406e+02,7.5269e-01,6.1064e-02
9.7724e+02,7.5409e-01,6.0760e-02
1.0116e+03,7.5547e-01,6.0459e-02
1.0471e+03,7.5685e-01,6.0162e-02
1.0839e+03,7.5822e-01,5.9867e-02
1.1220e+03,7.5959e-01,5.9576e-02
1.1614e+03,7.6094e-01,5.9287e-02
1.2023e+03,7.6229e-01,5.9002e-02
1.2445e+03,7.6364e-01,5.8720e-02
1.2882e+03,7.6497e-01,5.8441e-02
1.3335e+03,7.6630e-01,5.8164e-02
1.3804e+03,7.6762e-01,5.7891e-02
1.4289e+03,7.6894e-01,5.7620e-02
1.4791e+03,7.7025e-01,5.7353e-02
1.5311e+03,7.7155e-01,5.7088e-02
1.5849e+03,7.7285e-01,5.6826e-02
1.6406e+03,7.7414e-01,5.6567e-02
1.6982e+03,7.7542e-01,5.6311e-02
1.7579e+03,7.7670e-01,5.6057e-02
1.8197e+03,7.7797e-01,5.5806e-02
1.8836e+03,7.7924e-01,5.5557e-02
1.9498e+03,7.8050e-01,5.5312e-02
2.0184e+03,7.8175e-01,5.5069e-02
2.0893e+03,7.8300e-01,5.4828e-02
2.1627e+03,7.8424e-01,5.4590e-02
2.2387e+03,7.8547e-01,5.4354e-02
2.3174e+03,7.8670e-01,5.4121e-02
2.3988e+03,7.8793e-01,5.3890e-02
2.4831e+03,7.8915e-01,5.3662e-02
2.5704e+03,7.9036e-01,5.3436e-02
2.6607e+03,7.9157e-01,5.3213e-02
2.7542e+03,7.9277e-01,5.2991e-02
2.8510e+03,7.9397e-01,5.2772e-02
2.9512e+03,7.9516e-01,5.2555e-02
3.0549e+03,7.9635e-01,5.2341e-02
3.1623e+03,7.9753e-01,5.2128e-02
3.2734e+03,7.9871e-01,5.1918e-02
3.3884e+03,7.9988e-01,5.1709e-02
3.5075e+03,8.0105e-01,5.1503e-02
3.6308e+03,8.0221e-01,5.1299e-02
3.7584e+03,8.0337e-01,5.1097e-02
3.8905e+03,8.0452e-01,5.0897e-02
4.0272e+03,8.0566e-01,5.0698e-02
4.1687e+03,8.0681e-01,5.0502e-02
4.3152e+03,8.0795e-01,5.0307e-02
4.4668e+03,8.0908e-01,5.0114e-02
4.6238e+03,8.1021e-01,4.9923e-02
4.7863e+03,8.1133e-01,4.9734e-02
4.9545e+03,8.1245e-01,4.9546e-02
5.1286e+03,8.1357e-01,4.9360e-02
5.3088e+03,8.1468e-01,4.9176e-02
5.4954e+03,8.1578e-01,4.8993e-02
5.6885e+03,8.1689e-01,4.8812e-02
5.8884e+03,8.1798e-01,4.8633e-02
6.0954e+03,8.1908e-01,4.8455e-02
6.3096e+03,8.2017e-01,4.8278e-02
6.5313e+03,8.2125e-01,4.8103e-02
6.7608e+03,8.2233e-01,4.7930e-02
6.9984e+03,8.2341e-01,4.7757e-02
7.2444e+03,8.2448e-01,4.7586e-02
7.4989e+03,8.2555e-01,4.7417e-02
7.7625e+03,8.2662e-01,4.7249e-02
8.0353e+03,8.2768e-01,4.7081e-02
8.3176e+03,8.2874e-01,4.6916e-02
8.6099e+03,8.2979e-01,4.6751e-02
8.9125e+03,8.3084e-01,4.6587e-02
9.2257e+03,8.3188e-01,4.6425e-02
9.5499e+03,8.3292e-01,4.6264e-02
9.8855e+03,8.3396e-01,4.6103e-02
1.0233e+04,8.3500e-01,4.5944e-02
1.0593e+04,8.3603e-01,4.5786e-02
1.0965e+04,8.3705e-01,4.5629e-02
1.1350e+04,8.3808e-01,4.5473e-02
1.1749e+04,8.3910e-01,4.5317e-02
1.2162e+04,8.4011e-01,4.5163e-02
1.2589e+04,8.4113e-01,4.5009e-02
1.3032e+04,8.4213e-01,4.4856e-02
1.3490e+04,8.4314e-01,4.4704e-02
1.3964e+04,8.4414e-01,4.4553e-02
1.4454e+04,8.4514e-01,4.4403e-02
1.4962e+04,8.4613e-01,4.4253e-02
1.5488e+04,8.4713e-01,4.4104e-02
1.6032e+04,8.4811e-01,4.3955e-02
